Category,Origin Category,Clean Title,Detail,PDF File
가사,['[가사]'],상속재산분할사건의 특별수익 산정 시 관련된 과세처분의 사실 인정이나 법리 판단과 달리 볼 수 있는지가 문제된 사건,대상판결 서울고등법원 자 브 본심판 반심판 결정 확정 가사 제 부 사안 개요 망인 년 사망 은 상속인 아들 명의로 부동산을 억 원에 매수하고 앞으로 소유권이전등기를 마침 망인은 위 부동산 매수자금과 관련하여 망인이 에게 현금 원을 증여하였다고 신고하여 과세관청은 에게 증여세 원 부과처분을 함 망인은 위 증여세를 대신 납부함 망인은 년경 위 부동산을 억 원에 매도하였고 그 대금 중 원이 망인의 계좌에 입금됨 망인의 다른 상속인이 제기한 상속재산분할심판에서 는 위 부동산은 망인이 명의신탁한 것으로 상속재산분할대상이 아니라고 주장하였는데 제 심은 망인의 명의신탁 여부나 증여세 대납 매도대금을 가져간 부분에 대해 판단하지 않고 가 현금 원을 특별수익하였다고만 판단함 과세처분을 토대로 한 것으로 보임 쟁점 상속재산분할사건의 특별수익 산정 시 관련된 과세처분의 사실 인정이나 법리 판단과 달리 볼 수 있는지 적극 판단 증거에 의하면 의 명의신탁 주장은 이유 없음 대법원 다 판결 등 참조 망인은 에게 부동산 매수대금과 증여세를 지원하여 부동산을 취득할 수 있는 이익을 부여하였는바 이는 부동산 자체를 증여한 것과 실질적으로 다르지 않으므로 망인이 에게 현금 원을 증여한 것이 아니라 부동산 자체를 증여한 것으로 보는 것이 공동상속인들 사이의 형평에 부합하고 망인의 증여세 대납과 관련해서도 가 그 금액 상당의 특별수익을 한 것으로 볼 수 있음 다만 년경 부동산이 타인에게 매도되었으므로 부동산 증여로 인한 특별수익은 매도대금 억 원을 기준으로 산정해야 하는데 대법원 다 판결 참조 그중 일부인 원이 망인에게 반환되었으므로 결국 는 년경 그 차액인 원 억 원 원 을 특별수익한 것으로 봄이 타당함 서울고등법원 나 판결 확정 참조 제 심심판 변경,가사_1
가사,['[가사]'],혼인 중인 부부 사이의 자녀에 대하여 아버지 성본에서 어머니 성본으로 변경청구한 것을 허가한 심판,사건번호 의정부지방법원 느단 심판의 대체적 내용 사건의 개요 외국 이주민 여성인 청구인은 한국 남성과 결혼하여 그 사이에 사건본인 현재 만 세 아들 을 낳았고 사건본인의 성본은 아버지의 것을 따랐음 이후 청구인은 대한민국 국적을 취득하고 성본 창설과 개명을 하였음 청구인은 사건본인으로 하여금 어머니 나라의 혈통으로서의 정체성을 가지게 하고 대한민국에서 외국 이주민 출신 여성이 창설한 성본의 후손이 대대로 이어지게 하고 싶다는 이유로 사건본인의 성본을 아버지의 것에서 어머니인 청구인의 것으로 변경해달라고 청구하였음 청구인의 남편 역시 자녀의 성본 변경을 적극적으로 지지하였음 결정의 요지 청구인과 그 배우자는 사건본인이 한국인 아버지의 혈통으로서의 정체성 뿐만 아니라 외국 이주민으로서의 어머니의 정체성도 분명히 가지고 한국 사회의 다문화 가정에 대한 편견을 극복하기를 바라고 또 대한민국에서 외국 이주민 출신 여성이 창설한 성본의 후손이 대대로 이어지기를 바라는 마음에서 사건본인의 성본을 아버지의 것에서 어머니의 것으로 변경해달라고 하는바 그와 같은 친권자 및 양육자의 의사에 비추어 볼 때 사건본인의 성본을 변경하는 것이 가족 사이의 정서적 통합에 도움이 되고 가족 구성원의 개인적 존엄과 양성평등이라는 헌법상 이익에 부합하므로 이를 허가함이 상당하다 결정의 의의 가 통상 자녀의 성본 변경은 재혼 가정에서 계부의 성본으로 변경을 구하거나 이혼 또는 사별 후 어머니 혼자 자녀를 양육하는 가정에서 어머니의 성본으로 변경을 구하는 것이 대부분이나 이 사건은 혼인 중인 부부 사이에서 자녀가 아버지의 성본을 따르던 것을 어머니의 성본으로 변경하는 것을 허가한 것임 나 외국 이주민 출신으로 대한민국 국적을 취득하고 한국에 없던 성본을 처음으로 새롭게 창설한 어머니의 성본으로 변경함으로써 자녀에게 외국 이주민 혈통으로서의 어머니의 정체성도 분명히 정립할 수 있도록 함 다 성본 변경으로 주류 질서라고 할 부성주의에 반하는 외양이 형성된다고 하더라도 그 때문에 가족 구성원의 개인적 존엄과 양성평등이라는 헌법적 가치를 저버릴 수는 없고 오히려 그러한 외양에 대한 편견이나 비우호적인 호기심 나아가 다문화가정에 대한 편견에 대하여는 이를 극복해야 할 과제로 받아들이는 것이 타당함,가사_2
가사,['[가사]'],중혼적 사실혼에 기초한 재산분할 청구를 받아들이지 않은 사안,은 년대 과 혼인신고를 하고 자녀 명를 두었음 은 약 년 전 과 만나 교제를 시작하고 동거하면서 사업장을 운영하였음 은 의 건강이 크게 악화된 후 의 자녀들과 간병 및 재산 관리에 관한 의견 충돌이 발생하자 재산분할을 청구하는 이 사건 소를 제기함 이에 대하여 이 과 법률혼관계에 있는 이상 과는 중혼적 사실혼관계에 있는데 이 경우 사실혼 해소를 이유로 한 재산분할청구권을 인정하려면 원래의 법률혼관계가 사실상 이혼상태라는 등의 특별한 사정이 있어야 함에도 이에 관한 증명이 부족하다는 이유로 의 청구를 기각한 사례,No_PDF
가사,['[가사]'],사실혼관계를 인정할 수 없다는 이유로 손해배상 청구를 받아들이지 않은 사안,은 약 년 전 과 교제하다가 동거하기 시작함 은 동거 기간 중 인터넷 방송을 통해 을 알게 되었고 주말에 만나 성관계를 갖는 등 교제하였음 은 의 부정행위로 사실혼관계가 파탄에 이르게 되었다고 주장하며 을 상대로 위자료를 청구하는 소를 제기함 다음과 같은 이유로 이 사실혼관계임을 인정할 수 없다고 판단하고 의 청구를 기각한 사례 사실혼에 해당하여 법률혼에 준하는 보호를 받기 위하여는 단순한 동거 또는 간헐적인 정교관계를 맺고 있다는 사정만으로는 부족하고 당사자 사이에 주관적으로 혼인의 의사가 있고 객관적으로도 사회관념상 가족질서적인 면에서 부부공동생활을 인정할 만한 혼인생활의 실체가 존재하여야 함 은 각자 전혼이 깨어진 후 얼마 되지 않은 상태에서 동거를 시작하였고 동거 기간이 그리 길지 않음 이 결혼식을 올리거나 결혼사진을 촬영한 적이 없고 각자의 가족들과 상견례를 하지 않았으며 서로 상대방 가족공동체의 일원으로서 집안 행사나 경조사에 참여하였다거나 부부공동생활을 인정할 정도로 가족 사이에 교류가 있었다고 보기 어려움 동거 중 크게 싸운 후에는 동거를 유지하면서도 성관계를 하지 않고 지냄 이 사정상 의 계좌를 사용하였으나 경제활동을 공유하지 않고 별도로 수입을 관리하였음,No_PDF
가사,['[가사]'],유효한 양친자관계가 성립하였음을 근거로 친생자관계부존재확인의 소를 각하한 사안,현재 사망한 은 년대 과 혼인하여 여러 딸을 두었고 다른 여성인 과 사이에 아들인 을 낳았음 은 한동안 의 손에 자라다가 서울에 있는 의 집에서 거주하게 되었고 은 자신을 아버지 을 어머니로 하여 에 대한 출생신고를 하였음 은 수년간 의 집에서 배다른 누나들과 함께 살다가 생모인 이 있는 현재 지역으로 와 과 살았고 그러면서도 및 누나들과 계속 교류하였음 은 을 상대로 친생자관계부존재확인의 소를 제기하였고 유전자 검사 결과 사이에 친생자관계는 성립되지 않음 이에 대하여 다음과 같이 판단하고 소를 각하한 사례 당사자가 양친자관계를 창설할 의사로 친생자 출생신고를 하고 입양의 실질적 요건이 모두 구비되어 있다면 그 형식에 다소 잘못이 있더라도 입양의 효력이 발생하므로 파양으로 그 양친자관계를 해소할 필요가 있는 등 특별한 사정이 없는 한 법률상 친자관계의 존재를 부인하게 하는 친생자관계 부존재 확인청구는 허용될 수 없음 또한 친생자 출생신고 당시에는 입양의 실질적 요건을 갖추지 못하였더라도 그 후에 입양의 실질적 요건을 갖추게 되면 친생자 출생신고는 소급적으로 입양신고로서 효력을 갖게 됨 구 민법 제 조의 입양승낙 없이 친생자로서의 출생신고 방법으로 입양된 세 미만의 자가 입양의 승낙능력이 생긴 세 이후에도 계속하여 자신을 입양한 상대방을 부모로 여기고 생활하는 등 입양의 실질적인 요건을 갖춘 경우에는 친생자로 신고된 자가 세가 된 이후에 상대방이 한 입양에 갈음하는 출생신고를 묵시적으로 추인하였다고 보아 무효인 친생자 출생신고가 소급적으로 입양신고로서의 효력을 갖게 되는 것으로 볼 수 있음 다음과 같은 이유로 사이에는 입양의 실질적 요건이 구비되었고 출생신고는 양친자관계를 공시하는 입양신고로서의 효력을 가진다고 볼 수 있으며 달리 파양으로 양친자관계를 해소할 필요가 있다는 등의 특별한 사정이 없으므로 이 사건 소는 부적법하다고 판단한 사례 은 자녀로 딸만 여럿을 두었는데 이 대를 잇는 유일한 아들이라는 생각에 을 집으로 데려온 것으로 보임 은 과 함께 을 일정기간 양육하였음 은 을 데려온 후 상당한 시간이 경과한 후 출생신고를 하였으므로 출생신고 당시 을 자녀로 양육하고자 하는 의사가 있었던 것으로 볼 수 있고 수년간 주민등록주소지를 같이 하였음 은 현재 지역으로 내려온 이후에도 과 계속적으로 교류하면서 최근까지도 연락을 주고받았음 은 스스로 자신을 서울엄마 라고 호칭하였고 역시 을 서울 엄마 어머니 라고 호칭하였음 은 외에 누나들 및 조카들과도 가족으로서의 친밀한 관계를 유지한 것으로 보임 출생신고 당시 의 친생모 도 동의를 하였던 것으로 보일 뿐만 아니라 그렇지 않다고 하더라도 이 입양의 승낙능력이 생긴 세 이후에도 계속하여 과 모자관계를 유지하면서 아무런 이의제기가 없었던 것으로 보아 입양에 갈음하는 출생신고를 묵시적으로 추인하였다고 볼 수 있음,No_PDF
가사,['[가사]'],부부공동생활을 방해하는 부정행위를 인정하기 어렵다는 이유로 청구를 받아들이지 않은 사안,과 법률상 부부인 은 남편과 메시지를 주고받은 이 부정행위를 저질러 혼인관계를 파탄에 이르게 하였다고 주장하며 을 상대로 손해배상을 청구하는 소를 제기함 이 을 이쁜아 라고 호칭하면서 회사 마치고 맨날 놀자는 등의 대화를 주고받은 사실이 인정되지만 그것이 으로 하여금 상당한 불쾌감을 유발하거나 배우자에 대한 전반적인 불신을 증폭시키도록 하는 것을 넘어 부부공동생활을 침해하는 불법행위라고 보기는 어렵고 달리 이를 인정할 증거가 없다는 이유로 의 청구를 기각한 사례,No_PDF
가사,['[가사]'],구치소 출소를 위해 필요하다는 말에 속아 혼인신고를 하였다고 판단하고 혼인 무효를 인정한 사안,은 휴대전화 어플리케이션을 통해 만난 사이 은 에게 모든 재산을 양도하겠다는 각서를 작성해준 다음 구치소에 수감됨 은 에게 혼인신고를 마쳐야 형의 집행정지가 가능하다거나 재산을 이전할 수 있다면서 혼인신고를 종용하였음 은 의 위임장을 받아 혼인신고를 마쳤는데 은 함께 거주하거나 혼인생활을 한 적이 없음 은 에게 혼인이 무효임을 밝히고 혼인신고를 하지 않은 것으로 해주겠다는 내용의 서신을 보내기도 함 이러한 사실관계에 기초하여 이 실질적으로 혼인할 의사 없이 혼인신고를 한 것으로 봄이 타당하다고 판단하고 혼인무효를 구하는 의 청구를 받아들인 사례,No_PDF
가사,['[가사]'],인지가 무효임을 확인한 사안,은 약 년 전 을 자신의 딸로 인지신고 하였음 그러나 유전자 검사 결과 사이에 친자관계가 성립하지 않음 의 인지신고는 친생자가 아닌 자에 대하여 한 것이므로 당연 무효이고 으로서는 그 확인을 청구할 이익이 있다고 판단하여 의 청구를 받아들인 사례,No_PDF
가사,['[가사]'],양육비 증액을 인정한 사안,법률상 부부였던 은 협의이혼하면서 두 자녀의 친권자는 공동으로 양육자는 로 지정하고 양육비를 이 부담하기로 함 이혼 후 사이 친권자 및 양육자 등에 관한 심판청구가 있었는데 첫 번째 자녀의 친권자 및 양육자는 두 번째 자녀의 친권자 및 양육자는 으로 정하고 이 에게 두 자녀의 과거 양육비 약 만원 및 첫 번째 자녀의 장래 양육비 월 만 원을 이 에게 두 번째 자녀의 장래 양육비로 초등학교 입학 전까지는 월 만 원 중학교 입학 전까지는 월 만원 그 이후 성년에 이르기 전날까지는 월 만원을 지급하기로 하는 가정법원의 심판 이하 선행심판 이 있었음 은 그 이후 을 상대로 양육비를 증액해 달라는 심판청구를 함 은 연 약 만 원 은 연 약 억 원의 소득 모두 세전 이 있음 이에 대하여 다음과 같은 제반 사정을 종합적으로 고려하여 이 두 번째 자녀와 관련하여 지급할 양육비를 매월 만원으로 증액한 사례 양육비 부담 내용이 제반 사정에 비추어 부당하게 되었다고 인정되는 때에 가정법원은 그 내용을 변경할 수 있고 종전 양육비 부담이 부당한지 여부는 친자법을 지배하는 기본이념인 자녀의 복리를 위하여 필요한지 를 기준으로 판단하여야 함 은 선행심판 이후 소득이 증가한 것으로 보이고 이 양육하기로 하였던 첫 번째 자녀는 이미 성년이 되었음 두 번째 자녀의 성장 및 물가 상승으로 추가적인 양육비 지출이 필요할 것으로 보임 다른 한편 은 과거양육비를 감안하더라도 선행심판에서 소득에 비추어 비교적 적은 양육비를 부담하였고 첫 번째 자녀가 성년이 되었지만 학업 등을 위하여 의 경제적 지원은 여전히 필요할 것으로 보이는 면은 고려할 필요가 있음 이와 더불어 의 의사 소득 재산상황 나이 직업 자녀의 나이 양육 상황 서울가정법원이 공표한 양육비 산정 기준표 등을 종합하여 이 부담할 양육비를 만원으로 결정함 증액된 양육비의 지급 시기는 이 사건 심판일이 속한 년 월부터로 정함이 타당하다고 판단됨,No_PDF
가사,['[가사]'],검사를 상대로 한 친생자관계부존재확인의 소를 받아들인 사안,사망한 년대생 은 제적등본에 사망한 년대생 의 자녀로 등재되어 있음 그러나 사실 은 의 먼 친척으로 호적이 없어 혼인신고 및 자녀의 출생신고에 어려움을 겪자 이 년대에 을 자신과 아내 의 친생자로 출생신고를 한 것이었음 의 자녀 은 과 사이에 친생자관계가 존재하지 않는다는 소를 제기한 적이 있고 그 소송에서 의 자녀와 사이에 동일 모계에 의한 혈연관계가 성립되지 않는다는 것으로 추정된다는 유전자검사 결과가 나와 청구가 전부 받아들여졌음 이 사건에서도 위와 같은 사실관계에 기초하여 과 사이에 친생자관계가 존재하지 않음이 명백하다고 판단하고 의 자녀인 은 진실에 부합하지 않는 가족관계등록부상의 기재로 인하여 발생할 법률상 지위의 불안을 제거하기 위해 친생자부존재확인의 소를 제기할 법률상 이익이 있다고 보아 청구를 받아들인 사례,No_PDF
가사,['[가사]'],성과 본의 창설허가에 관한 심판청구를 받아들이지 않은 사안,은 자신이 년생이고 부모를 알 수 없는 사람으로 가족관계등록이 되어 있지 않다고 주장하면서 성과 본의 창설허가에 관한 심판청구를 함 다음과 같은 이유로 심판청구를 기각한 사례 자는 부와 성과 본을 따르고 부를 알 수 없는 경우에는 모의 성과 본을 따르며 부모를 알 수 없는 경우에만 성과 본을 창설할 수 있음 민법 제 조 경찰서에 지문을 조회 결과 의 지문은 년대에 주민등록발급을 한 년생 이라는 사람의 지문과 동일함 은 을 전혀 모르고 과거 지인의 부탁으로 관련 기관에 지문 등록을 한 기억이 있다고 주장하지만 이를 뒷받침할 만한 자료는 없음 은 이라는 사람으로 보이고 부모를 알 수 없는 사람에 해당한다고 인정할 수 없으므로 성과 본의 창설을 허가할 수 없음,No_PDF
가사,['[가사]'],자녀의 성과 본을 자신의 것으로 변경하여 달라는 친모의 심판청구를 받아들이지 않은 사안,은 이혼 후 자녀 의 성과 본을 자신의 것으로 변경하여 달라는 심판청구를 함 다음과 같은 이유로 그와 같은 성과 본의 변경이 자녀의 복리에 부합한다고 인정하기 어렵다고 판단하고 심판청구를 기각한 사례 은 기존에 동일한 내용의 심판청구를 하여 기각되었는데 그로부터 불과 개월이 지나지 않아 또다시 이 사건 심판청구를 하였음 은 심판청구 이후 과 재혼하였고 곧 새로운 자녀를 출산할 예정이며 그 자녀는 의 성과 본을 따를 예정임 도 종국적으로는 의 성과 본이 계부인 의 성과 본으로 변경되기를 바라고 있지만 의 친부가 동의하지 않아 부득이 본인의 성과 본으로 변경을 청구하였다는 것인데 추후 의 성과 본을 의 것으로 재차 변경 청구할 가능성이 높고 잦은 성과 본의 변경은 자녀의 정체성에 혼란을 줄 우려가 큼 현재 의 나이 만 세 등에 비추어 자신의 성과 본이 변경되는 것의 의미를 이해하고 스스로 결정할 능력이 충분하다고 볼 수 없고 추후 의 의사를 고려하여 신중하게 성과 본 변경 여부를 결정하는 것이 의 복리에 보다 도움이 될 것으로 보임,No_PDF
가사,['[가사]'],미성년자 입양허가에 관한 심판청구를 받아들이지 않은 사안,은 외국인 여성 과 재혼한 다음 대한민국으로 작년 여름 입국한 의 자녀 을 입양하겠다는 심판청구를 함 다음과 같은 이유로 그 입양이 의 복리에 부합한다고 보기 어렵다고 판단하고 심판청구를 기각한 사례 가정법원은 양자가 될 미성년자의 복리를 위하여 그 양육 상황 입양의 동기 양부모의 양육능력 등 여러 사정을 고려하여 미성년자 입양의 허가를 하지 않을 수 있음 민법 제 조 제 항 과 의 혼인기간이 길지 않음 은 이 입국한 지 약 네 달 만에 이 사건 청구를 하였는데 서로 언어와 문화가 다른 상황에서 그와 같이 단기간 내에 부모와 자녀로서 실질적인 관계를 형성하였다고 보기 어려움 과 사이에 안정적인 유대관계 및 가정의 결속력이 확인된 이후 입양이 이루지는 것이 바람직함,No_PDF
가사,['[가사]'],혼인관계를 유지하면서 부정행위 상대방에 대해서만 위자료를 청구한 사건에서 위자료 액수를 상대방의 내부적 부담 부분으로 제한한 사안,은 법률상 부부 은 휴대전화 어플리케이션을 통해 을 만나 자신의 집에서 과 차례 성관계를 갖는 부정행위를 하였음 은 과 혼인관계를 유지하면서도 만을 상대로 부정행위로 인한 손해배상을 청구하는 소를 제기함 이에 대하여 다음과 같이 판단한 사례 의 부정행위는 부부 공동생활을 침해하거나 그 유지를 방해하는 것이고 그로 인하여 이 정신적인 고통을 받았으리라는 점은 경험칙상 충분히 인정되므로 민법상 불법행위를 구성함 다만 은 과 혼인관계를 유지하고 공동불법행위자 사이의 내부적 부담 부분에 따른 의 책임 범위에 한정하는 일부 청구 의사를 밝히지 않았음 과 의 부정행위를 전체적으로 평가하여 로 하여금 의 부담 부분을 포함한 전체 위자료를 배상하게 한다면 로서는 일단 그 손해를 배상하고 나서 다시 에게 의 부담 부분을 구상할 수 있게 됨 이는 부부의 신분상 생활상의 일체성을 간과한 것일 뿐만 아니라 부부 공동생활의 조속한 회복 및 안정을 방해하고 손해배상이나 구상 관계 등 분쟁을 회에 처리할 수 없는 결과를 초래한다는 측면에서 바람직하다고 할 수 없음 따라서 이 사건처럼 공동불법행위자 사이의 내부적 부담 부분에 따른 책임의 범위에 한정하는 일부 청구를 하지 않았더라도 이 입은 전체 정신적 손해액 중 의 부담 부분에 해당하는 위자료 액수만의 지급을 명하는 것이 손해의 공평분담을 지도 원리로 하는 손해배상제도의 근본 취지 및 형평의 원칙에 비추어 타당함,No_PDF
가사,['[가사]'],부제소합의를 이유로 협의이혼 후 위자료 및 재산분할을 청구하는 전처의 소를 각하한 사안,법률상 부부였던 은 협의이혼을 한 후 협의이혼 사실을 확인하고 위자료 및 재산분할의 내용 지급 방법 등을 정하면서 이후 이혼 사건 문제로 민 형사상 일체의 소를 제기하지 않는다 는 내용이 포함된 합의서를 작성함 은 그 합의가 당시 진행 중이던 의 형사사건 을 폭행하였다는 것 을 무마시키기 위해 작성한 것으로 비진의표시에 해당하여 무효이고 혼인 기간 내내 계속된 의 폭언 폭행으로 인해 강박에 의해 작성된 것이므로 그 의사표시를 취소한다고 주장하면서 위자료 및 재산분할을 청구하는 소를 제기하였음 이에 대하여 다음과 같은 이유로 부제소합의가 유효하다가 보고 의 소를 각하한 사례 이 작성한 합의서는 그 작성 경위와 문구 등을 해석해 볼 때 부제소합의로 봄이 타당함 은 합의 이후 위자료 및 재산분할에 관한 합의사항을 이행하고 있음 이 제출하는 증거만으로는 주장과 같이 합의의 효력을 다투는 사유를 인정하기 어려움 오히려 다음과 같이 이 자의로 합의서를 작성해 준 것으로 판단되는 사실관계가 인정됨 합의 당시 이 을 고소한 사건에 관하여는 이미 고소가 취소된 상태이고 폭행일과 합의서 작성일 사이에는 상당한 간격이 있어 합의서가 형사사건을 무마하기 위해 작성된 것이라고 보기 어려움 합의서를 써주겠다고 제안한 것은 인데 그 이유는 공무원인 이 징계에 회부됨으로써 징계 결과에 따라 에게 지급하기로 한 것을 이행하지 못하게 될 경우에 대비하여 약속한 것을 끝까지 책임지고 주겠다는 것이었음 은 의 제안에 별다른 이의 없이 응하였음,No_PDF
